,title,author,description,actual_price,prev_price,pages,year,language,publisher,image
10,Powerless,"Roberts, Lauren","Descripción



Solo los extraordinarios pertenecen al reino de Ilya: los excepcionales, los empoderados, los Élites. Cuando el rey decretó que todos los Ordinarios fueran desterrados para preservar su sociedad de Élites, convirtió a Paedyn Gray en una delincuente. Paedyn se hace pasar por Psíquica, mezclándose con las Élites y pasando desapercibida. Hasta que Paeydn salva a Kai, uno de los príncipes de Ilya, y termina participando en las Pruebas de la Purga, un concurso brutal entre los Élites más fuertes del reino. Si las Pruebas no acaban con ella, seguro que el príncipe lo hará cuando descubra que no tiene ningún poder...

Ver más
Ver menos","20,85€","21,95€",600,,Español,Alfaguara,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw5e04acdd/images/large/1474897.14.jpg?sw=740
11,Adiós a la inflamación,"Moñino, Sandra","Descripción



¿Sientes tu vientre hinchado? ¿Pesadez en tu cuerpo? ¿Te notas de mal humor, estresado o más cansado de lo normal? ¿Sabías que detrás de ello podría esconderse un problema de inflamación?Aumento de peso, problemas en la piel, dolores de cabeza o patologías como la diabetes, el hipotiroidismo, la esclerosis múltiple, el cáncer o la depresión podrían deberse a una inflamación crónica.  En este libro descubrirás que una dieta adecuada, hábitos saludables y una buena gestión de las emociones son primordiales para desinflamarte y recuperar tu salud.  La nutricionista Sandra Moñino, una de las mayores expertas en inflamación, nos da todas las claves y trucos para identificarla, prevenirla y combatirla. Además, te ofrece un completo menú antiinflamatorio con recetas ricas, fáciles, saciantes y muy saludables. Un manual imprescindible que mejorará todos los aspectos de tu salud y cambiará tu vida.

Ver más
Ver menos","18,90€","19,90€",288,2024,Español,Harper Collins,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw9c514d1c/images/large/1486454.75.jpg?sw=740
12,BLACKWATER III. La casa,"McDowell, Michael","Descripción



Descubre el tercer volumen de la saga Blackwater. Una saga matriarcal. Mujeres poderosas que luchan por el dominio durante generaciones. Una atmósfera única para una lectura adictiva. Un retrato realista con toques sobrenaturales. Escritura magistral y visual en un ambicioso proyecto entre el pulp y HBO.«Michael Mcdowell: mi amigo, mi maestro. Fascinante, aterrador, simplemente genial. El mejor de todos nosotros.» STEPHEN KING «Una sabia combinación entre Dumas y Lovecraft. Un cruce entre Stephen King y Gabriel García Márquez. Despiadadamente adictivo.» ROBERT SHAPLEN, THE NEW YORK TIMES Las gélidas y oscuras aguas del río Blackwater inundan Perdido, un pequeño pueblo al sur de Alabama. Allí, los Caskey, un gran clan de ricos terratenientes, intentan hacer frente a los daños causados por la riada. Liderados por Mary-Love, la incontestable matriarca, y Óscar, su obediente hijo, los Caskey trabajan por recomponerse y salvaguardar su fortuna. Pero no cuentan con la aparición de la misteriosa Elinor Dammert. Una joven hermosa pero parca en palabras con un único objetivo: acercarse a los Caskey cueste lo que cueste.

Ver más
Ver menos","9,40€","9,90€",272,2024,Español,Blackie Books,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw5199afe5/images/large/1479804.04.jpg?sw=740
13,Heartstopper 5. Creciendo contigo,"Oseman, Alice","Descripción



Una nueva entrega de la aclamada serie Heartstopper repleta de sentimientos.Amor y sentimientos a flor de piel en una nueva entrega de Heartstopper.  Nick y Charlie están muy enamorados. Por fin se han dicho esas dos palabras que contienen todo lo que sienten el uno por el otro, y Charlie casi ha convencido a su madre para que lo dejé dormir en casa de Nick... pero con Nick a punto de iniciar una nueva etapa en la Universidad, ¿podrá seguir todo igual de bien cómo hasta ahora?

Ver más
Ver menos","15,15€","15,95€",336,2024,Español,Crossbooks,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwe4edba83/images/large/1475996.74.jpg?sw=740
14,Una vida a les muntanyes,"Orriols, Abraham","Descripción



Cent anys d’ofici, determinació i resiliència, Una crida a preservar el coneixement i les tradicions de les muntanyes.A Bruguera, un petit poble al peu del Taga, hi viu la pastora més vella de Catalunya. Amb quasi cent anys, la Marina Vilalta segueix exercint un ofici que estima però que té un futur incert. Un ofici sacrificat que requereix dedicació i paciència i que està íntimament lligat a la terra. La història de la Marina, que cobreix un segle, ens permet mirar a la muntanya amb tota la seva immensitat i conèixer els que la treballen, els que s’hi han amagat o escapat i els animals que hi viuen salvatges. Ens presenta la força de la natura sobre l’home i com aquest, amb els anys, ha après a entendre-la, preveure-la i i conviure-hi. La història de la Marina ens amplia la mirada sobre el món rural i la saviesa popular del nostre país.

Ver más
Ver menos","18,95€","19,95€",,,Catalán,Ara Llibres,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwce205499/images/large/1462490.20.jpg?sw=740
15,"Tú, por pura casualidad","Not, Alina","Descripción



UNA HISTORIA DE AMOR EN LA QUE EL AZAR Y EL DESTINO JUEGAN UN PAPEL ESENCIAL¿Crees que bastan treinta segundos para proyectar lo vivido y desvelar lo que está por venir? Beth vio algo cuando se debatía entre la vida y la muerte y ahora está segura de que logrará su sueño, de que llegará a ser una anciana feliz y satisfecha, y de que hay alguien con un aspecto muy concreto con quien compartirá el resto de sus días. Sin embargo, el comienzo de la universidad trae nuevas oportunidades, desvíos que tomar y la presencia de Chris, que le hace sentir tantas cosas como nunca creyó posible... solo que no es el chico que marca el destino. Chris cree en el amor, pero no en los «para siempre». Hasta que Beth se cruza en su camino y lo que empieza como un desafío para intentar demostrar que el futuro se escribe día a día se convierte en algo más. Está seguro de algo: no tiene la cara adecuada, pero es el chico adecuado. ¿Está escrito el destino? ¿O puede el amor jugar bajo sus propias reglas?

Ver más
Ver menos","18,00€","18,95€",384,2024,Español,Crossbooks,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwa33397da/images/large/1477340.31.jpg?sw=740
16,BLACKWATER II. El dique,"McDowell, Michael","Descripción



Descubre el segundo volumen de la saga Blackwater. Una saga matriarcal. Mujeres poderosas que luchan por el dominio durante generaciones. Una atmósfera única para una lectura adictiva. Un retrato realista con toques sobrenaturales. Escritura magistral y visual en un ambicioso proyecto entre el pulp y HBO.«Michael Mcdowell: mi amigo, mi maestro. Fascinante, aterrador, simplemente genial. El mejor de todos nosotros.» STEPHEN KING «Una sabia combinación entre Dumas y Lovecraft. Un cruce entre Stephen King y Gabriel García Márquez. Despiadadamente adictivo.» ROBERT SHAPLEN, THE NEW YORK TIMES Las gélidas y oscuras aguas del río Blackwater inundan Perdido, un pequeño pueblo al sur de Alabama. Allí, los Caskey, un gran clan de ricos terratenientes, intentan hacer frente a los daños causados por la riada. Liderados por Mary-Love, la incontestable matriarca, y Óscar, su obediente hijo, los Caskey trabajan por recomponerse y salvaguardar su fortuna. Pero no cuentan con la aparición de la misteriosa Elinor Dammert. Una joven hermosa pero parca en palabras con un único objetivo: acercarse a los Caskey cueste lo que cueste.

Ver más
Ver menos","9,40€","9,90€",272,2024,Español,Blackie Books,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw6bb814c1/images/large/1479803.28.jpg?sw=740
17,30 sunsets per enamorar-te (edició en català) (Bali 1),"Ron, Mercedes","Descripción



HI HA HISTÒRIES D'AMOR SENSE BITLLET DE TORNADA Descobreix-ho a BALI, la nova saga de MERCEDES RON L'autora Nº1 que ha seduït més de 1.000.000 de lectores amb CULPA MÍA «NOMÉS HAN CALGUT TRENTA POSTES DE SOL PER ENAMORAR-ME PERDUDAMENT DE TU».La Nikki ha crescut a la petita illa de Bali. L'Alex ha aterrat en aquest oasi fugint de Londres. Ella és veterinària voluntària i fa classes de ioga. Ell és pilot d'avions i viu envoltat de luxe. Només tenen trenta dies per estar junts, així que cap dels dos espera la voràgine de sentiments i mitges veritats que faran que l'Alex i la Nikki visquin un idil·li per al qual cap dels dos està preparat.De què fuig Àlex? Quina és la veritable raó de les pors de la Nikki? Es pot viure un amor amb data de caducitat? O hi ha històries d'amor que no tenen bitllet de tornada?

Ver más
Ver menos","18,00€","18,95€",448,,Catalán,Montena,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw353e5cd4/images/large/1438010.71.jpg?sw=740
18,Cor trencat,"Blay, Pep","Descripción



Carles Sabater tenia 36 anys la matinada del 13 de febrer de 1999, quan va morir.El domini absolut de l’escenari, l’elegància, la tendresa, una dicció perfecta i una eficaç expressivitat angelical mescla de timidesa i intensitat, van convertir Carles Sabater en l’ídol més carismàtic de la seva època. Al llarg de dotze anys frenètics d’ascensió a la fama, va forjar un estil magnètic d’estar sobre l’escenari on, tant si cantava com si actuava, establia una connexió immediata i íntima amb un públic que l’estimava amb una tendresa incondicional.Cor trencat és la reconstrucció dels darrers dies, setmanes i mesos de la vida d’algú que no sabia que caminava al caire de l’abisme. Amb una prosa rotunda, delicada i honesta, Pep Blay retroba persones i llocs en una recerca íntima de l’ídol caigut, de l’amic que havia de ser, per preguntar-se si les coses haurien pogut ser d’una altra manera, per descobrir finalment què i com va trencar el cor de Carles Sabater.

Ver más
Ver menos","22,80€","24,00€",336,2024,Catalán,Folch & Folch,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw745c9590/images/large/1482068.67.jpg?sw=740
19,Romper el hielo,"Grace, Hannah","Descripción



El fenómeno viral de TikTok que derrite el hielo. Un rivals to lovers que ha conquistado la lista de más vendidos de The New York Times.Las chispas saltan cuando una patinadora artística y el capitán del equipo de hockey se ven obligados a compartir pista y a acercarse mucho más de lo que querrían. Anastasia Allen está decidida a entrar en el equipo olímpico de patinaje artístico de Estados Unidos y, cuando consigue una beca para la Universidad de California, todo parece ir de acuerdo con su plan.El objetivo de Nathan Hawkins como capitán del equipo de hockey es mantener a sus chicos sobre el hielo cueste lo que cueste, pero todo se complica cuando tienen que compartir pista con una patinadora guapísima y con muy mal genio. La situación obliga a estos rivales a pasar tiempo juntos, pero Anastasia está tranquila. Sabe perfectamente que un jugador de hockey jamás podría distraerla, y mucho menos Nate... ¿verdad?Citas:«Química ardiente, diálogos chispeantes y un romance que os dejará sin sentido».Elena Armas, autora de Farsa de amor a la española

Ver más
Ver menos","18,90€","19,90€",448,2023,Español,Ediciones B,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwf98710e9/images/large/1455609.27.jpg?sw=740
