,title,author,description,actual_price,prev_price,pages,year,language,publisher,image
98,Cicatrius,"Guillén Colomer, Sònia","Descripción



Premi Ramon Muntaner 2023L’obra té com a protagonistes la Maria i la Nerea, dues joves trencades per una mala decisió. Totes dues es coneixen a l’hospital. Allà, a l’habitació que comparteixen, buscaran consol l’una en l’altra i ens explicaran la seva història. Una novel·la que posa sobre la taula el problema de la salut mental entre els adolescents. Una lectura imprescindible per entendre les dificultats a què han de fer front els joves.Les cicatrius ens recorden allò que hem viscut.

Ver más
Ver menos","11,35€","11,95€",160,2023,Catalán,Fanbooks,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw7f5b2e30/images/large/1459711.28.jpg?sw=740
99,Culpa nuestra (Culpables 3),"Ron, Mercedes","Descripción



DESCUBRE LA SAGA QUE HA INSPIRADO LA PELÍCULA  ¿Hasta dónde están dispuestos a llegar Nick y Noah? Descúbrelo en #CulpaNuestra, la entrega final de la trilogía «Culpables». La relación de Nick y Noah está pasando por su peor momento, y parece que nada podrá volver a ser como antes... Van a tener que pasarpor muchas cosas para finalmente comprender si de verdad están hechos el uno para el otro o si por lo contrario, estar separados es lo que de verdad les conviene. Pero ¿acaso se puede olvidar un amor tan fuerte? ¿Cómo pueden borrarse los recuerdos tatuados en el corazón? El amor no siempre es suficiente y el perdón a veces no basta para solucionar las cosas.¿Serán capaces de dejar atrás el pasado y volver a empezar?Los lectores opinan sobre «Culpables»...«Leí Culpa mía por casualidad y ¡¡me quedé completamente enganchada!!» «¡Me ha dejado sumamente enamorada!» «¡Me quedé sin palabras!»«¡Por fin podré leer el final de la serie!» «Desde que terminé Culpa tuya no he podido dejar de pensar en Nick y Noah.»

Ver más
Ver menos","18,00€","18,95€",448,2018,Español,Montena,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw002e7e13/images/large/1223665.11.jpg?sw=740
100,MasterChef Junior. Hoy cocinan ellos,Shine,"Descripción



¡Que empiece la fiesta culinaria!Hoy cocinan ellos es el libro perfecto para familias que quieren disfrutar de la cocina. Encontrarás recetas superfáciles y rápidas diseñadas para que los niños las preparen solos: desayunos para empezar el día con energía, comidas y cenas originales y meriendas para compartir con amigos. Además, todas las elaboraciones ofrecen un paso a paso detallado para que puedan cocinar platos increíbles con sus propias manos. Hoy cocinan ellos y tú disfrutas de los resultados más deliciosos. 

Ver más
Ver menos","20,80€","21,90€",200,2023,Español,Espasa,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw7fa7ce55/images/large/1464268.16.jpg?sw=740
101,Trilogía Fuego 3. Ciudades de fuego,"Marcús, Joana","Descripción



¡Enamórate de la obra más sorprendente de la autora de Antes de diciembre!El cierre de la inolvidable trilogía Fuego. Traición. Alianza. Amor. Amistad. Dolor. Y muerte. Al fin, Alice ha vuelto a reencontrarse con sus amigos. Sin embargo, la lucha no ha hecho más que empezar, y el peligro acecha más que nunca. En un mundo donde todo está a punto de desmoronarse, Alice sabe que las decisiones que tome serán cruciales para el destino de todos. Cuando parece que te lo han arrebatado todo, ¿hasta dónde serías capaz de llegar por los tuyos?

Ver más
Ver menos","9,45€","9,95€",608,2023,Español,Booket,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw1e083eb1/images/large/1456528.79.jpg?sw=740
102,Culpa mía (Culpables 1),"Ron, Mercedes","Descripción



DESCUBRE LA SAGA QUE HA INSPIRADO LA PELÍCULA #CulpaMía «La mejor historia de amor que he leído en mi vida.», «Me atrapó con cada palabra.», «¡Me quedé leyendo hasta las 5 de la madrugada!», «Lo mejor que he leído en mucho tiempo.», «Nick es un gran personaje, ¡ojalá fuera real!», «Mercedes Ron no ha creado una historia: ha creado magia.»(La opinión de los lectores)Nicholas Leister ha sido creado para amargarme la vida. Alto, ojos azules, pelo negro como la noche... Suena genial ¿verdad? Pues no tanto cuando te enteras de que va a ser tu hermanastro y además representa todo de lo que has estado huyendo desde que tienes uso de razón. Peligro fue lo primero que me vino a la cabeza cuando lo conocí y descubrí que mantiene una doble vida oculta de su padre multimillonario.¿Cómo terminé cayendo en sus redes? Fácil: con esos ojos es capaz de poner tu mundo patas arriba.En los blogs...«Una historia apasionante con una protagonista fuerte, decidida, independiente y escenas muy tiernas y conmovedoras que me han conquistado. Este libro es impresionante.»Blog Entre metáforas «Atrapa por su increíble narración, sus potentes protagonistas y su atrayente historia.»Blog El rincón de Leyna «Una historia totalmente preciosa que sienta las bases de una grandísima trilogía.»Blog It's time to magic«No te puedes despegar hasta que no lees el último párrafo y piensas ¿cuándo saldrá la segunda parte?»Blog de Laure Ever «Un libro adictivo y que se lee de un tirón. Primera parte de una trilogía queestoy deseando continuar. Súper recomendado para las que les gusta el New Adult.»Blog El desván de las mil y un «Desde el momento que empecé la primera hoja, me atrapó tanto la historia que no pude dejar de leerla hasta el final. El primer libro de una trilogía que estoy deseando continuar no os va decepcionar en absoluto.»Blog Words of Books«Creedme cuando os digo que es una historia muy diferente, innovadora, que todo empieza de una manera muy distinta a otros libros... Es genial y ya.»Blog Los mundos de blue «Me ha gustado mucho. Es inesperado, peligroso y trepidante... Una historia que crea adicción desde la primera hasta la última página. Con unos personajes alocados y muy característicos, una trama envolvente y unos giros de vértigo.»Blog Viajando a otros mundos

Ver más
Ver menos","18,00€","18,95€",448,2017,Español,Montena,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw97a3a249/images/large/1194065.10.jpg?sw=740
103,El abismo del olvido,"Roca, Paco","Descripción



El 14 de septiembre de 1940, 532 días después del final de la Guerra Civil española, José Celda fue fusilado por el régimen franquista junto a otros 11 hombres en la tapia trasera del cementerio de Paterna, en Valencia, y enterrado con ellos en una fosa común. Más de siete décadas después, y tras una larga travesía por el lado oscuro de un país acomplejado por su pasado, Pepica, la hija de José, una anciana ya octogenaria que tenía 8 años cuando mataron a su padre, logró por fin localizar y recuperar sus restos para restaurar su dignidad. En la batalla personal de Pepica Celda contra el olvido fue decisivo el papel de Leoncio Badía, un joven republicano que había sido condenado tiempo atrás a trabajar como sepulturero en el cementerio de su pueblo. Jugándose el pellejo, Leoncio, un hombre obsesionado con el sentido de la vida y el orden del universo, había colaborado durante años y en secreto con las viudas de los represaliados de la guerra para identificar sus cadáveres, darles sepultura de la forma más digna posible, localizar sus fosas y ocultar mensajes entre sus restos, convencido de que algún día alguien podría sacarlos de allí. Paco Roca viaja al pasado con 'El abismo del olvido' para recuperar junto a Rodrigo Terrasa (que desempeña una importante labor de documentación y de aportación de ideas) la historia real de Leoncio y de José, ejemplo de las decenas de miles de españoles que fueron represaliados de forma salvaje tras el final del conflicto en España. Pero también acompaña a Pepica Celda en su desgarrador laberinto que intenta desentrañar las miserias de un país obsesionado con despreciar su memoria.

Ver más
Ver menos","23,75€","25,00€",296,2023,Español,Astiberri,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw05f94998/images/large/1473161.90.jpg?sw=740
104,El meu primer llibre de nadales,Aavv,"Descripción



Viu el Nadal de manera divertida i canta i balla les nadales més conegudes!Sis cosins es preparen per celebrar el Nadal i ho fan amb molta música! Vols cantar i ballar amb ells nou nadales inoblidables? Amb un xip de so a cada pàgina, perquè escoltis les nadales de tota la vida: Fum, fum, fum, El dimoni escuat, Caga tió, i moltes més.  

Ver más
Ver menos","18,00€","18,95€",20,2023,Catalán,Estrella Polar,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwe2ff0ddf/images/large/1464035.80.jpg?sw=740
105,Com preparar la nit de Reis i evitar que només us portin carbó,"Vendrell, Òscar","Descripción



Qui són els Reis d'Orient? Com van arribar a Betlem? Avui dia, com s'ho fan per entrar a casa vostra? Per què no us podeu llevar la nit de Reis? I, si no us heu portat bé del tot al llarg de l'any, encara podeu evitar que només us portin carbó? En aquest llibre trobareu, per fi, les respostes que estàveu esperant. I també: 10 instruccions bàsiques per acollir com cal els Reis d'Orient.

Ver más
Ver menos","12,30€","12,95€",48,2023,Catalán,Baula,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw26c26265/images/large/1467015.82.jpg?sw=740
106,Tierra firme,"Sánchez, Pedro","Descripción



En tiempos de inmediatez y ruido mediático, una obra que apela directamente a la ciudadanía.En los cuatro años transcurridos desde Manual de resistencia, Pedro Sánchez ha formado el primer Gobierno de coalición de la historia reciente de España, ha liderado el país durante una pandemia, una guerra en Ucrania y sus consecuencias económicas en toda Europa, y ha lidiado con otras muchas crisis, como la erupción de un volcán en La Palma.Pese a todas las dificultades, en esta pasada legislatura se han sentado las bases de grandes transformaciones, con el medio ambiente, la lucha contra la desigualdad y la transición digital como ejes principales. Se trata de cambios que requieren maduración, coherencia en las políticas y constancia para consolidarse. En el futuro se abre un panorama complejo, con numerosas incertidumbres, en el que está en juego algo tan elemental como el avance o el retroceso de nuestro país.Ante una derecha cada vez más escorada y más ruidosa, este libro —una crónica en primera persona que abarca hasta la noche electoral del 23 de julio de 2023— es una apelación, sin intermediarios, a la ciudadanía. Aborda la acción de Gobierno, pero también «lo que es posible lograr como nación en el futuro: pasar de la resistencia a esa tierra firme que España alcanzará cuando culminen todas las transformaciones ya en marcha».

Ver más
Ver menos","20,80€","21,90€",384,2023,Español,Península,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw591651ae/images/large/1475514.61.jpg?sw=740
107,Imperfectas navidades,Cherry Chic,"Descripción



¡La esperadísima vuelta a la comedia más romántica de Cherry Chic! Un divertido, emocionante y precioso relato navideño.

Ver más
Ver menos","19,90€","20,95€",448,2023,Español,Montena,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwfebf04c0/images/large/1461855.35.jpg?sw=740
108,¿Tú lo harías?,"Maxwell, Megan","Descripción



Adéntrate en esta comedia romántica y verás como las decepciones amorosas no se superan con lágrimas, sino con la seguridad absoluta de que no hay nadie más fuerte que una mujer que aprende a reconstruirse a sí misma.¿Tú lo harías? nos presenta a tres mujeres de poco más de treinta años que aparentemente no tienen nada en común. África es periodista, aunque la ilusión de su vida es ser editora. Gema está especializada en marketing y publicidad y es madre de dos hijos. Belinda es limpiadora en hoteles y hospitales. Ellas no se conocen de nada, hasta que un buen día coinciden en un local llamado Bébete a Tu Ex. A partir de ese momento forjarán una amistad que las ayudará a hacer frente a las distintas decepciones que han sufrido por amor y, ante una botellita de vino, se retarán a vivir la vida uno o varios puntitos más allá de hasta donde se habían atrevido a hacerlo. Eso significará un ¡ADIÓS! a los miedos y vergüenzas, especialmente al qué dirán, y un gran ¡HOLA! a vivir, atreverse, quererse y disfrutar. Porque por muchas veces que hagas caer a una mujer en su camino, ella siempre se levantará, se sacudirá el polvo y se hará más fuerte.

Ver más
Ver menos","17,00€","17,90€",512,2023,Español,Esencia,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw8a079f07/images/large/1464137.48.jpg?sw=740
109,La sangre del padre,"Goizueta, Alfonso","Descripción



La sangre del padre, Finalista del Premio Planeta 2023, es una novela épica y colosal sobre el hombre que quiso salvar a los pueblos de la tiranía en aras de la libertad.Conquistó el imperio más poderoso del mundo,  pero la guerra más violenta la libró contra sí mismo.Tras el asesinato de su padre, Alejandro asciende al trono de Macedonia. Acaba de heredar no solo el título, sino también el deber de salir victorioso en la misión que le reclama su pueblo: arrebatar a los persas las tierras que una vez fueron griegas y devolverles la libertad.Sin embargo, no puede detenerse ahí, la sangre de reyes, de héroes, de dioses que corre por sus venas lo obliga a llevar a cabo una empresa mucho más ambiciosa. Quiere conquistar Babilonia, Persépolis y todas las ciudades en su camino hacia el este, hasta vencer al último rey aqueménida, el temible Darío, y acabar con el Imperio persa para siempre.Sabe que es su destino. Solo él puede lograrlo, solo él puede conquistar el mundo, solo él es Alejandro Magno.

Ver más
Ver menos","21,75€","22,90€",608,2023,Español,Planeta,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw6f5d21ad/images/large/1470904.35.jpg?sw=740
110,La chica del verano,La Vecina Rubia,"Descripción



La primera edición especial incluye una dedicatoria manuscrita impresa escrita por la autora.Así quería ser yo: anónima. Oculta, pero presente. La vida está llena de etapas, algunas preciosas e inolvidables, otras más difíciles y complicadas, lo importante es saber cuándo hay que cerrar cada una de ellas. La madurez no nos avisó. Apareció de repente con la enfermedad de Lucía, que superamos como siempre lo habíamos hecho, estando unidas. Aparentemente, Laux, Sara, Lucía y yo éramos las mismas cuatro amigas inseparables, pero las circunstancias de la vida no nos lo estaban poniendo fácil. La desilusión por un sueño que se escapa entre las manos, ocultarle la verdad a quien amas, tener que decidir entre tu pareja o ser madre hizo que nos diésemos cuenta de lo mucho que habíamos cambiado. Seguíamos llenas de veranos y atardeceres, de risas y llantos, plenas de amistad incondicional y de luz, pero también de decisiones difíciles de tomar, diferentes, ineludibles a nuestra edad. Entre ellas, la más importante para mí no dejaba de repetirse en mi cabeza: ¿Quería ser yo la Vecina Rubia? ¿Podría sostener el peso del anonimato siendo ella? Los finales felices son para los valientes Con La chica del verano concluye la saga Verano. Una historia que nos ha llevado por el camino de una adolescente rubia de dieciséis años muy especial que se ha convertido en mujer y en el personaje anónimo que la acompañará para siempre: la Vecina Rubia. Una vida llena de emociones a flor de piel que han madurado, como lo han hecho las protagonistas de esta historia, que podría ser la de cualquiera de nosotras.

Ver más
Ver menos","18,90€","19,90€",424,2023,Español,Cúpula,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw724a4aea/images/large/1467644.51.jpg?sw=740
111,Los Juegos del Hambre - Balada de pájaros cantores y serpientes,"Collins, Suzanne","Descripción



¿De qué serías capaz para conseguir la victoria?La ambición será su motor. La rivalidad, su motivación. Pero alcanzar el poder tiene un precio.  La precuela de Los Juegos del Hambre. Es la mañana de la cosecha que dará comienzo a los décimos Juegos del Hambre. En el Capitolio, Coriolanus Snow, de dieciocho años, se prepara para una oportunidad única: alcanzar la gloria como mentor de los Juegos. La casa de los Snow, antes tan influyente, atraviesa tiempos difíciles, y su destino depende de que Coriolanus consiga superar a sus compañeros en ingenio, estrategia y encanto como mentor del tributo que le sea adjudicado. Todo está en su contra... La crítica ha dicho:«El mayor acierto de la saga consiste en reunir la esencia de 1984, la intensidad de La naranja mecánica, la fantasía de Las crónicas de Narnia y la inventiva de Harry Potter». The New York Times

Ver más
Ver menos","18,95€","19,95€",592,2020,Español,Molino,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw4879d779/images/large/1334097.16.jpg?sw=740
112,Tres meses (Meses a tu lado 3),"Marcús, Joana","Descripción



La esperada tercera parte de la saga Meses a tu lado de Joana Marcús. CONOCER A UNA PERSONA TE PUEDE CAMBIAR LA VIDA Jack Ross no creía en el compromiso, y hasta ahora no le había ido mal. La fantasía del amor verdadero, de ese cruce de miradas que te cambia la vida por completo, no era más que un argumento sobreexplotado de las películas que más solía criticar. Por eso, ¿qué importaba que hubiera conocido a Jenna? ¿Qué importaba si pasaban tanto tiempo juntos? ¿Qué importaba si, poco a poco, iba abriéndole su corazón? Y, sobre todo, ¿qué importaba el riesgo de que se rompiera? En tres meses pueden ocurrir muchas cosas, y enamorarse es una de ellas. Jack Ross no iba a ser menos.

Ver más
Ver menos","17,05€","17,95€",384,2023,Español,Montena,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw5ac37a54/images/large/1427834.68.jpg?sw=740
113,Tothom ha de morir,"Theros, Xavier","Descripción



Un thriller històric ambientat a la Catalunya de les carlinades.El 1848, en plena guerra dels matiners, una misteriosa partida guerrillera està deixant un reguitzell de crims al Ripollès. Acabat de sortir de la presó, en Llampades amb un grup d'homes de les Rondes Volants —contrabandistes, lladres i expresidiaris com ell—, serà l'encarregat d'empaitar aquests assassins violents per terres del Bisaura, on s'ha fet fort el general Cabrera. Mentre, a Barcelona, un doble crim a un prostíbul remourà el passat del protagonista...

Ver más
Ver menos","21,75€","22,90€",592,2023,Catalán,La Campana,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwcaee1671/images/large/1458282.88.jpg?sw=740
114,Tetralogía Los juegos del hambre,"Collins, Suzanne","Descripción



El presente estuche reúne las cuatro novelas que conforman «Los juegos del hambre», la saga best seller de Suzanne Collins.1. Los juegos del hambreDoce chicos y doce chicas se ven obligados a participar en un reality show llamado Los Juegos del Hambre. Solo hay una regla: matar o morir.Cuando Katniss Everdeen, una joven de dieciséis años se presenta voluntaria para ocupar el lugar de su hermana en los juegos, lo entiende como una condena a muerte. Sin embargo, Katniss ya ha visto la muerte de cerca y la supervivencia forma parte de su naturaleza._____________2. En llamasKatniss Everdeen ha sobrevivido a Los juegos del hambre. Pero el Capitolio quiere venganza.Contra todo pronóstico, Katniss Everdeen y Peeta Mellark siguen vivos. Aunque Katniss debería sentirse aliviada, se rumorea que existe una rebelión contra el Capitolio, una rebelión que puede que Katniss y Peeta hayan ayudado a inspirar. La nación les observa y hay mucho en juego. Un movimiento en falso y las consecuencias serán inimaginables._____________3. SinsajoKatniss Everdeen ha sobrevivido dos veces a los Juegos del Hambre, pero no está a salvo. La revolución se extiende y, al parecer, todos han tenido algo que ver en el meticuloso plan, todos excepto Katniss.Aun así, su papel en la batalla final es el más importante de todos. Katniss debe convertirse en el Sinsajo, en el símbolo de la rebelión... a cualquier precio._____________4. Balada de pájaros cantores y serpientes (precuela de la trilogía)Es la mañana de la cosecha que dará comienzo a los décimos Juegos del Hambre. En el Capitolio, Coriolanus Snow, de dieciocho años, se prepara para una oportunidad única: alcanzar la gloria como mentor de los Juegos.La casa de los Snow, antes tan influyente, atraviesa tiempos difíciles, y su destino depende de que Coriolanus consiga superar a sus compañeros en ingenio, estrategia y encanto como mentor del tributo que le sea adjudicado. Todo está en su contra...

Ver más
Ver menos","49,21€","51,80€",,,Español,B de Bolsillo,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw6aea3bf0/images/large/1465064.85.jpg?sw=740
115,Holly,"King, Stephen","Descripción



La nueva novela del Rey del Terror recuerda a joyas como Misery y cuenta con un personaje muy querido por sus fans: Holly Gibney, la detective privada que, por primera vez, protagoniza una novela en solitario.Cuando Penny Dahl contacta con Finders Keepers para que la ayuden a encontrar a su hija, algo en la voz desesperada de la mujer hace que Holly Gibney se vea obligada a aceptar el trabajo. A poca distancia del lugar en el que Bonnie Dahl desapareció, viven los profesores Rodney y Emily Harris. Son la quintaesencia de la respetabilidad burguesa: un matrimonio octogenario y dedicado de académicos semiretirados. Nadie diría que, en el sótano de su impecable casa forrada de libros, esconden un secreto directamente relacionado con la desaparición de Bonnie.Son astutos, pacientes y despiadados, y obligarán a Holly a emplear sus habilidades al máximo y a arriesgarlo todo si quiere cerrar el caso más oscuro al que se ha enfrentado jamás.Críticas:«No contento con ser el maestro del terror y de la fantasía, Stephen King se ha ganado, en los últimos años, un lugar de pleno derecho entre los mejores escritores de novela negra de Estados Unidos».Sunday Express «Stephen King es indiscutiblemente uno de los mejores narradores del siglo, yun maestro a la hora de retratar los horrores que habitan bajo la superficie de lo que parece la vida normal».Daily Mail Sobre Billy Summers:«En Billy Summers (como ya lo hizo en Misery) King insiste en la idea de que escribir es sobrevivir y que no hay nada más importante que el vivir para contarlo».Rodrigo Fresán «Excombatiente de la guerra de Irak, Billy Summers tiene un pasado más jodido que el de Rambo, pero es un tipo estupendo: buen vecino, buen niñero, buen amante... Y un soldado que sabe que nunca se deja atrás a un compañero, aun cuando esto sea un mal negocio».Esquire «Con Billy Summers, su segunda novela en un año, el Rey del Terror vuelve a su mejor nivel».El País«Un excelente relato de redención que engancha y conmueve».La Razón «Todo confluye, una vez más, en lo que probablemente sea El Tema recurrente de King: el hacer justicia deshaciendo injusticia».ABC

Ver más
Ver menos","22,70€","23,90€",624,2023,Español,Plaza & Janés,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwe493fa8e/images/large/1455409.18.jpg?sw=740
116,L'últim telecadira,"Irving, John","Descripción



Una novel·la de fantasmes, una novel·la d'amor, i tota una vida de sexe i política: un fresc històric dels darrers 80 anys.Coincidint amb el seu 80è aniversari, John Irving ens presenta L'últim telecadira, una història èpica d'una família gens convencional.Aspen, 1941: Rachel Brewster és esquiadora i competeix als campionats nacionals. Coneguda com la Petita Ray no fa cap podi. Es queda embarassada i el seu fill, l'Adam, creix a prop dels avis, en una família que desafia les convencions i evita les preguntes sobre el passat. El deteriorament progressiu de l'avi avança i simultàniament l'Adam comença a veure fantasmes. Als anys seixanta, l'Adam troba una pista que el podria conduir fins al seu pare i decideix viatjar fins a l'Hotel Jerome, a Aspen, on va ser concebut. Allà es troba amb alguns fantasmes, i no són ni els primers ni els últims que se li apropen.

Ver más
Ver menos","23,65€","24,90€",960,2023,Catalán,Edicions 62,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw67c9ae12/images/large/1459783.52.jpg?sw=740
117,Los chicos de Biloxi,"Grisham, John","Descripción



Dos amigos de la infancia. Dos familias. Dos lados opuestos de la ley. Un apasionante thriller en el que el maestro Grisham lleva su relato a otro nivel, con personajes memorables y giros inesperados que te harán devorar las páginas hasta su asombroso final. Desde hace casi un siglo, Biloxi es conocida por sus playas, complejos turísticos e industria pesquera. Pero también tiene un lado oscuro. Esta ciudad de Misisipi es además famosa por el crimen y la corrupción: desde el juego, la prostitución y el contrabando hasta el narcotráfico y los asesinatos a manos de sicarios. Un pequeño grupo controla la actividad criminal y se rumorea que muchos de ellos son miembros de la mafia del sur, conocida como Dixie Mafia. Keith Rudy y Hugh Malco, amigos de la infancia e hijos de familias inmigrantes, crecieron en Biloxi durante los años sesenta, hasta que en la adolescencia sus vidas siguieron direcciones diferentes. El padre de Keith se convirtió en un legendario fiscal decidido a «barrer la ciudad». El de Hugh llegó a ser el jefe de la red criminal clandestina de Biloxi. Keith decidió estudiar Derecho y seguir los pasos de su padre. Hugh prefirió trabajar en los clubes nocturnos del suyo. Las dos familias se dirigen directas hacia un decisivo enfrentamiento, que tendrá lugar en un tribunal... y en la que la vida de todos estará en la cuerda floja.La crítica ha dicho...«John Grisham es uno de los mejores escritores que tenemos en Estados Unidos en estos momentos».The New York Times «Invita a compararla con la trilogía de El Padrino -recorre dos generaciones y variasdécadas de la posguerra-, y tiene además un variado conjunto de personajes y una energía irresistible».Sunday Times «Esta historia atraviesa medio siglo y acaba inevitablemente con un enfrentamiento en el tribunal. Una lectura reveladora, fascinante y moralmente compleja».Mail on Sunday «Como siempre, Grisham presenta increíbles giros inesperados a medida que el suspense se intensifica. Su excepcional forma de narrar deja al lector con ganas de que la novela no termine nunca. Grisham ha vendido más de trescientos millones de ejemplares y este libro es la prueba de cómo lo ha logrado».Daily Mail «Un thriller legal al que se une un fascinante enfrentamiento en los tribunales y que es además mucho más que eso. Una saga familiar y una exploración de la zona gris entre el bien absoluto y la maldad absoluta que a veces recuerda a una novela de Don Winslow. Grisham ha creado aquí algunos de sus personajes más memorables».Booklist «Grisham vuelve a dar en el clavo con un thriller que tiene un gran trasfondo humano».Peterborough Telegraph

Ver más
Ver menos","22,70€","23,90€",432,2023,Español,Plaza & Janés,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw511c8ea8/images/large/1458232.00.jpg?sw=740
118,Per què els elefants no tenen càncer?,Neurones fregides,"Descripción



Setze científics ens expliquen el perquè del que ens envolta d'una manera propera i amena. Per què el càncer no afecta igual a totes les espècies? Quin és l'origen de l'Univers? I de les espècies? Com ens orientem per l'espai? El nostre entorn és ple de fenòmens que amaguen grans incògnites. La ciència ens permet entendre el món on vivim i interpretar els canvis que vindran. Us animeu a disseccionar-la? Els autors d'aquest llibre, tots ells membres de la plataforma Neurones Fregides, provenen de branques científiques diverses i demostren en aquest llibre com la ciència està interconnectada, talment com una xarxa neuronal. Amb un to divulgatiu i proper, ens responen preguntes que sempre ens hem fet sobre el nostre entorn i ens acosten la ciència com mai ens l'han explicada.

Ver más
Ver menos","18,90€","19,90€",256,2023,Catalán,Rosa dels Vents,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dw8e31112f/images/large/1458267.02.jpg?sw=740
119,Este dolor no es mío,"Wolynn, Mark","Descripción



DEPRESIÓN. ANSIEDAD. DOLORES CRÓNICOS. FOBIAS. PENSAMIENTOS OBSESIVOS. La evidencia científca muestra que los traumas pueden ser heredados. Existen pruebas fiables de que muchos problemas crónicos o de largo plazo pueden no tener su origen en nuestras vivencias inmediatas o en desequilibrios químicos de nuestro cerebro, sino en las vidas de nuestros padres, abuelos o bisabuelos. Mark Wolynn, fundador y director del Instituto de Constelaciones Familiares (FCI) y pionero en el estudio de los traumas familiares heredados, presenta en 'Este dolor no es mío' un enfoque transformador que permite resolver problemas crónicos que no han podido ser aliviados mediante la terapia tradicional, los medicamentos u otras medidas.

Ver más
Ver menos","13,30€","14,00€",288,2017,Español,Gaia,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwe7fd5973/images/large/1220243.77.jpg?sw=740
120,El sueño es vida,Pin Gonzalo,"Descripción



El libro definitivo sobre el sueño de los niños, de la mano del experto en medicina del sueño en España Cuánto, cómo y cuándo deben dormir los niños es una preocupación de todos los padres -primerizos o no- y un tema plagado de mitos, desconocimiento e informaciones contradictorias. Tras más de treinta años dedicados al estudio del sueño infantil, he escrito este libro -desde la humildad y la evidencia científica- para que entiendas qué sucede en la maduración de tu hijo y conseguir, con tranquilidad, cuidar su sueño y su calidad de vida para poder disfrutar de la crianza. No hay varitas mágicas ni métodos milagrosos, solo conocimiento, afectividad y perseverancia. Comprende todas las etapas que atraviesan los niños, desde recién nacidos hasta la adolescencia, y cómo la forma en que duermen cambia con ellos. «Esta colección es para ti: los libros que me habría gustado leer hace años, cuando inicié el viaje de mi maternidad. Libros más necesarios que nunca, escritos por expertos, basados en la evidencia científica, pero con la sensibilidad, la ternura y la cercanía de la experiencia compartida», Lucía Galán Bertrand Una colección pensada para cada madre y cada padre, con el rigor y la garantía de Lucía Galán, la pediatra de referencia en España. Títulos que abordan todos los aspectos de la salud infantil y la crianza, creados por los mayores expertos en cada materia, para que disfrutes de esta aventura con toda la información a tu alcance, y con la seguridad y la confianza de dejarte llevar de la mano de Lucía, mi pediatra.

Ver más
Ver menos","17,95€","18,90€",256,2023,Español,Planeta,https://www.abacus.coop/dw/image/v2/BDLM_PRD/on/demandware.static/-/Sites-AbacusMaster/default/dwb7166289/images/large/1460537.34.jpg?sw=740
